Game,Url,System,Critic Score,# of Critic Reviews,User Score,# of User Reviews,delta_scores,year
Madden 2001,https://www.metacritic.com/game/playstation-2/madden-nfl-2001,PlayStation 2,91,25,75,10,16,01
Madden 2002,https://www.metacritic.com/game/playstation-2/madden-nfl-2002,PlayStation 2,94,23,73,49,21,02
Madden 2003,https://www.metacritic.com/game/playstation-2/madden-nfl-2003,PlayStation 2,95,25,76,68,19,03
Madden 2004,https://www.metacritic.com/game/playstation-2/madden-nfl-2004,PlayStation 2,94,29,83,149,11,04
Madden 2005,https://www.metacritic.com/game/playstation-2/madden-nfl-2005,PlayStation 2,91,30,80,84,11,05
Madden 06,https://www.metacritic.com/game/playstation-2/madden-nfl-06,PlayStation 2,88,29,80,128,8,06
Madden 07,https://www.metacritic.com/game/playstation-2/madden-nfl-07,PlayStation 2,84,29,82,44,2,07
Madden 08,https://www.metacritic.com/game/playstation-3/madden-nfl-08,PlayStation 3,81,31,60,39,21,08
Madden 09,https://www.metacritic.com/game/playstation-3/madden-nfl-09,PlayStation 3,85,38,44,134,41,09
Madden 10,https://www.metacritic.com/game/playstation-3/madden-nfl-10,PlayStation 3,85,41,69,61,16,10
Madden 11,https://www.metacritic.com/game/playstation-3/madden-nfl-11,PlayStation 3,83,36,61,69,22,11
Madden 12,https://www.metacritic.com/game/playstation-3/madden-nfl-12,PlayStation 3,79,31,57,60,22,12
Madden 13,https://www.metacritic.com/game/playstation-3/madden-nfl-13,PlayStation 3,83,22,55,108,28,13
Madden 14,https://www.metacritic.com/game/playstation-3/madden-nfl-25,PlayStation 3,76,19,42,94,34,14
Madden 15,https://www.metacritic.com/game/playstation-4/madden-nfl-15,PlayStation 4,81,37,60,221,21,15
Madden 16,https://www.metacritic.com/game/playstation-4/madden-nfl-16,PlayStation 4,83,37,57,198,26,16
Madden 17,https://www.metacritic.com/game/playstation-4/madden-nfl-17,PlayStation 4,82,35,40,157,42,17
Madden 18,https://www.metacritic.com/game/playstation-4/madden-nfl-18,PlayStation 4,82,40,34,159,48,18
Madden 19,https://www.metacritic.com/game/playstation-4/madden-nfl-19,PlayStation 4,80,30,20,256,60,19
Madden 20,https://www.metacritic.com/game/playstation-4/madden-nfl-20,PlayStation 4,76,23,14,624,62,20
Madden 21,https://www.metacritic.com/game/playstation-4/madden-nfl-21,PlayStation 4,63,29,2,5765,61,21
Madden 22,https://www.metacritic.com/game/playstation-5/madden-nfl-22,PlayStation 5,68,25,5,464,63,22
